Length	Count	Reference
18	129876	Mammoth 10 3D-guided
19	89160	Mammoth 10 3D-guided
20	45288	Mammoth 10 3D-guided
21	29943	Mammoth 10 3D-guided
22	19575	Mammoth 10 3D-guided
23	11172	Mammoth 10 3D-guided
24	9409	Mammoth 10 3D-guided
25	8755	Mammoth 10 3D-guided
26	8065	Mammoth 10 3D-guided
27	9379	Mammoth 10 3D-guided
28	7606	Mammoth 10 3D-guided
29	6916	Mammoth 10 3D-guided
30	5551	Mammoth 10 3D-guided
31	5444	Mammoth 10 3D-guided
32	4812	Mammoth 10 3D-guided
33	4353	Mammoth 10 3D-guided
34	3442	Mammoth 10 3D-guided
35	3291	Mammoth 10 3D-guided
36	2910	Mammoth 10 3D-guided
37	2577	Mammoth 10 3D-guided
38	2466	Mammoth 10 3D-guided
39	2334	Mammoth 10 3D-guided
40	2013	Mammoth 10 3D-guided
41	1858	Mammoth 10 3D-guided
42	1457	Mammoth 10 3D-guided
43	1401	Mammoth 10 3D-guided
44	1311	Mammoth 10 3D-guided
45	1330	Mammoth 10 3D-guided
46	1120	Mammoth 10 3D-guided
47	1042	Mammoth 10 3D-guided
48	804	Mammoth 10 3D-guided
49	698	Mammoth 10 3D-guided
50	801	Mammoth 10 3D-guided
51	591	Mammoth 10 3D-guided
52	664	Mammoth 10 3D-guided
53	851	Mammoth 10 3D-guided
54	479	Mammoth 10 3D-guided
55	395	Mammoth 10 3D-guided
56	441	Mammoth 10 3D-guided
57	384	Mammoth 10 3D-guided
58	433	Mammoth 10 3D-guided
59	567	Mammoth 10 3D-guided
60	536	Mammoth 10 3D-guided
61	357	Mammoth 10 3D-guided
62	404	Mammoth 10 3D-guided
63	214	Mammoth 10 3D-guided
64	260	Mammoth 10 3D-guided
65	702	Mammoth 10 3D-guided
18	138492	mEleMax1
19	100987	mEleMax1
20	60070	mEleMax1
21	42344	mEleMax1
22	29126	mEleMax1
23	21872	mEleMax1
24	20849	mEleMax1
25	19517	mEleMax1
26	16553	mEleMax1
27	14790	mEleMax1
28	12310	mEleMax1
29	11724	mEleMax1
30	9742	mEleMax1
31	10078	mEleMax1
32	9153	mEleMax1
33	8573	mEleMax1
34	7430	mEleMax1
35	7296	mEleMax1
36	5949	mEleMax1
37	5033	mEleMax1
38	4449	mEleMax1
39	4234	mEleMax1
40	3853	mEleMax1
41	3369	mEleMax1
42	2814	mEleMax1
43	2923	mEleMax1
44	2835	mEleMax1
45	2642	mEleMax1
46	2676	mEleMax1
47	2377	mEleMax1
48	1620	mEleMax1
49	1388	mEleMax1
50	1522	mEleMax1
51	1182	mEleMax1
52	1150	mEleMax1
53	2182	mEleMax1
54	897	mEleMax1
55	811	mEleMax1
56	957	mEleMax1
57	841	mEleMax1
58	1105	mEleMax1
59	1514	mEleMax1
60	1431	mEleMax1
61	840	mEleMax1
62	1035	mEleMax1
63	497	mEleMax1
64	543	mEleMax1
65	664	mEleMax1
